AllName,PlayerPage,CurrentID,Birthdate,Country,Nationality,Residency,Birthdate__precision
Bananafish,Babi9,Babi9,1997-01-14,China,,China,1
Bang,Bang,Bang,1996-05-18,South Korea,,Korea,1
BAO (Jeong Hyeon-woo),BAO (Jeong Hyeon-woo),BAO,2001-09-20,South Korea,,Korea,1
Baolan,Baolan,Baolan,1999-07-16,China,,China,1
Barrett,Xiaoali,Xiaoali,,China,,China,
Baut,Baut,Baut,2001-03-30,South Korea,,Korea,1
Bay,Bay,Bay,2002-02-19,South Korea,,Korea,1
Baybay,Baybay,baybay,1996-11-29,Taiwan,,LMS,1
BBD,Xiaguang,Xiaguang,1999-12-30,China,,China,1
Bdd,Bdd,Bdd,1999-03-01,South Korea,,Korea,1
Beast (Kim Joo-hyun),Beast (Kim Joo-hyun),Beast,1995-03-12,South Korea,,Korea,1
Becca (Son Min-woo),Pleata,Pleata,2003-03-28,South Korea,,Korea,1
Bei,X41007,X41007,,China,,China,
Beichuan,Beichuan,Beichuan,2001-07-21,China,,China,1
Ben,Ben,Ben,1995-04-24,South Korea,,Korea,1
Ben4,Ben4,Ben4,1998-01-01,China,,China,1
Bengi,Bengi,Bengi,1993-11-21,South Korea,,Korea,1
BeryL,BeryL,BeryL,1997-04-01,South Korea,,Korea,1
Betty,Betty,Betty,2000-01-16,Taiwan,,Asia Pacific,1
Beyond (Kim Kyu-seok),Beyond (Kim Kyu-seok),Beyond,1997-08-18,South Korea,,Korea,1
Bible,Bible,Bible,1999-11-24,South Korea,,Korea,1
Bin (Chen Ze-Bin),Bin (Chen Ze-Bin),Bin,2003-09-28,China,,China,1
Biubiu,Biubiu,Biubiu,1999-06-01,China,,China,1
Blackloli,Fireloli,Fireloli,1996-05-28,China,,China,1
Blanc (Jin Seong-min),Blanc (Jin Seong-min),Blanc,1995-06-03,South Korea,,Korea,1
Blank (Kang Sun-gu),Blank (Kang Sun-gu),Blank,1998-04-30,South Korea,,Korea,1
Bless (Choi Hyeon-woong),Bless (Choi Hyeon-woong),Bless,1996-10-23,South Korea,,Korea,1
Blessing,Dispel,dispel,2004-03-22,South Korea,,Korea,1
Blossom (Park Beom-chan),Blossom (Park Beom-chan),Blossom,1999-10-12,South Korea,,Korea,1
Bo,Bo,Bo,2002-03-02,China,,China,1
Bonnie,Bonnie,Bonnie,2001-03-14,South Korea,,Korea,1
Bono (Kim Gi-beom),Bon0,bon0,1995-02-27,South Korea,,Korea,1
BoriSal,Try,Try,1996-07-08,South Korea,,Korea,1
Brain,Banks,Banks,,China,,China,
Breathe,Breathe,Breathe,2001-02-19,China,,China,1
Bright,Bright,Bright,,China,,China,
Brook (Lee Jang-hoon),Hoon (Lee Jang-hoon),Hoon,1999-06-04,South Korea,,Korea,1
Bubbling,Bubbling,Bubbling,1993-04-13,South Korea,,Korea,1
Bull,Bull,Bull,2003-05-16,South Korea,,Korea,1
BuLLDoG (Lee Tae-young),BuLLDoG (Lee Tae-young),BuLLDoG,2005-04-15,South Korea,,Korea,1
Bunny,Bunny,Bunny,2002-01-19,China,,China,1
Burdol,Burdol,Burdol,2003-12-25,South Korea,,Korea,1
Bvoy,Bvoy,Bvoy,1997-12-18,South Korea,,Korea,1
CaD,CaD,CaD,2002-02-20,South Korea,,Korea,1
Calix (Syun Hyun-bin),Calix (Syun Hyun-bin),Calix,2007-03-22,South Korea,,Korea,1
Callme,Callme,Callme,2003-05-30,South Korea,,Korea,1
Candy (Tang Xin),Candyseven,Candyseven,1996-01-21,China,,China,1
Candyseven,Candyseven,Candyseven,1996-01-21,China,,China,1
Canna,Canna,Canna,2000-02-11,South Korea,,Korea,1
Canyon,Canyon,Canyon,2001-06-18,South Korea,,Korea,1
Captain (Luo Fei-Yang),Feikun,Feikun,1999-08-08,China,,China,1
Captain (Sun Yu-Ze),Captain (Sun Yu-Ze),Captain,,China,,China,
Captain57,Captain (Sun Yu-Ze),Captain,,China,,China,
Care,Care,Care,2004-02-28,China,,China,1
Carry (Wang Zu-Jing),Akira (Wang Zu-Jing),Akira,1993-09-13,China,,China,1
Casting,Casting,Casting,2003-10-30,South Korea,,Korea,1
CAsual,Dusk (Zhang Wen-Bo),Dusk,2000-03-25,China,,China,1
Cat (Wu Yao),Cat (Wu Yao),Cat,1995-08-11,China,,China,1
CaveMan,Duan,Duan,1996-02-25,China,,China,1
Celestial,694,694,1995-07-25,China,,China,1
Cepted,Cepted,Cepted,1997-08-26,South Korea,,Korea,1
Chance (Pei Piao),Chance (Pei Piao),Chance,1999-08-16,China,,China,1
Changhong,Changhong,Changhong,1997-01-25,China,,China,1
Chaser,Chaser,Chaser,1995-08-01,South Korea,,Korea,1
CJJ,CJJ,CJJ,1999-08-27,China,,China,1
COLD,COLD,COLD,1997-02-01,China,,China,1
Cool,Cool,Cool,1994-08-03,China,,China,1
Chei,Chei,Chei,1996-06-30,South Korea,,Korea,1
Chelizi,Chelizi,Chelizi,2000-03-28,China,,China,1
Chelly (Li Yu-Zhou),Chel1y,chel1y,1998-08-27,China,,China,1
Chen,Chen,Chen,,China,,China,
CheonGo,CheonGo,CheonGo,1999-03-10,South Korea,,Korea,1
Cheoni,Cheoni,Cheoni,2001-02-02,South Korea,,Korea,1
Chieftain,Chieftain,Chieftain,2000-11-16,South Korea,,Korea,1
Chovy,Chovy,Chovy,2001-03-03,South Korea,,Korea,1
City,QingSi,QingSi,,China,,China,
Clear (Song Hyeon-min),Clear (Song Hyeon-min),Clear,2002-12-19,South Korea,,Korea,1
Clearlove,Clearlove,Clearlove,1993-07-25,China,,China,1
Clearlove7,Clearlove,Clearlove,1993-07-25,China,,China,1
Clever,Clever,Clever,2000-12-02,South Korea,,Korea,1
Clever9,Clever9,Clever9,2000-10-19,China,,China,1
Clid,Clid,Clid,1999-07-07,South Korea,,Korea,1
Cloud (Hu Zhen-Wei),CL0UD,CL0UD,1994-07-29,China,,China,1
Clozer,Clozer,Clozer,2003-07-27,South Korea,,Korea,1
Coco,Coco,Coco,1994-03-14,South Korea,,Korea,1
Cola (Jiang Nan),Cola (Jiang Nan),Cola,1994-04-18,China,,China,1
Comeback (Ha Seung-chan),Hachani,Hachani,1994-12-24,South Korea,,Korea,1
Conan,Conan,Conan,1993-12-25,China,,China,1
Condi,Condi,Condi,1996-11-07,China,,China,1
CoreJJ,CoreJJ,CoreJJ,1994-06-22,South Korea,,North America,1
Corn (Lei Wen),Corn (Lei Wen),Corn,1997-03-04,China,,China,1
Cover,Cover,Cover,1999-05-29,South Korea,,Korea,1
Cpt Jack,Cpt Jack,Cpt Jack,1993-01-04,South Korea,,Korea,1
Crash,Crash,Crash,1997-01-05,South Korea,,Korea,1
Crazy (Kim Jae-hee),Crazy (Kim Jae-hee),Crazy,1996-09-20,South Korea,,Korea,1
Creme,Creme,Creme,2003-12-14,China,,China,1
Crisis,Crisis,Crisis,1997-06-20,China,,China,1
Crisp,Crisp,Crisp,1998-08-20,China,,China,1
Croco,Croco,Croco,2000-02-23,South Korea,,Korea,1
Crow (Kim Seon-gyu),Crow (Kim Seon-gyu),Crow,1998-03-21,South Korea,,Korea,1
Crown,Crown,Crown,1995-02-28,South Korea,,Korea,1
Crush,Crush,Crush,1998-01-03,South Korea,,Korea,1
Cry,Zet,Zet,1997-08-21,South Korea,,Korea,1
Cryin,Cryin,Cryin,2000-11-05,China,,China,1
Cube (Dai Yi),Cube (Dai Yi),Cube,2002-07-14,China,,China,1
Cult,Fearness,fearness,2002-03-18,China,,China,1
Curse (Chen Chen),Breathe,Breathe,2001-02-19,China,,China,1
CuVee,CuVee,CuVee,1996-09-27,South Korea,,Korea,1
Cuzz,Cuzz,Cuzz,1999-10-30,South Korea,,Korea,1
Dade,Dade,Dade,1994-11-08,South Korea,,Korea,1
DanDy,DanDy,DanDy,1994-01-03,South Korea,,Korea,1
Danger,Danger,Danger,,China,,China,
Dark (Yang Ju-Bao),Memory,Memory,1997-10-12,China,,China,1
Daylight,Daylight,Daylight,2000-05-02,China,,China,1
DDoiV,DDoiV,DDoiV,2003-10-21,South Korea,,Korea,1
Decade,Decade,Decade,,China,,China,
Deceit,Deceit,Deceit,1997-07-31,China,,China,1
Deft,Deft,Deft,1996-10-23,South Korea,,Korea,1
Delight,Delight,Delight,2002-09-12,South Korea,,Korea,1
Demon (Wu Yue-Wei),Demon (Wu Yue-Wei),Demon,2002-02-20,China,,China,1
Destroy (Yoon Jeong-min),Destroy (Yoon Jeong-min),Destroy,2000-05-08,South Korea,,Korea,1
DeuL,DeuL,DeuL,1994-09-25,South Korea,,Korea,1
DnDn,DnDn,DnDn,2003-05-18,South Korea,,Korea,1
Doggo,Doggo,Doggo,2003-01-14,Taiwan,,Asia Pacific,1
Doinb,Doinb,Doinb,1996-12-30,South Korea,,China,1
Doran (Choi Hyeon-joon),Doran (Choi Hyeon-joon),Doran,2000-07-22,South Korea,,Korea,1
Dove,Dove,Dove,1998-07-25,South Korea,,Korea,1
Dread (Lee Jin-hyeok),Dread (Lee Jin-hyeok),Dread,2000-06-07,South Korea,,Korea,1
Dream (Tan Wen-Xiang),Dream (Tan Wen-Xiang),Dream,2002-09-15,China,,China,1
DreamS (He Zhi-Hong),Zzz2,Zzz2,1997-04-19,China,,China,1
Drizzle,Drizzle,Drizzle,1994-10-14,South Korea,,Korea,1
Duan,Duan,Duan,1996-02-25,China,,China,1
DuDu (Lee Dong-ju),DuDu (Lee Dong-ju),DuDu,2001-03-08,South Korea,,Korea,1
Duke (Lee Ho-seong),Duke (Lee Ho-seong),Duke,1994-12-19,South Korea,,Korea,1
Duro,Duro,Duro,2002-02-04,South Korea,,Korea,1
Easyhoon,Easyhoon,Easyhoon,1992-11-23,South Korea,,Korea,1
Edge,Edge,Edge,1997-12-03,South Korea,,Korea,1
Effort,Effort,Effort,2000-11-23,South Korea,,Korea,1
Eimy,Eimy,eimy,1996-01-08,China,,China,1
Elk,Elk,Elk,2001-09-29,China,,China,1
Ella,Ella,Ella,1995-02-05,South Korea,,Korea,1
Ellim,Ellim,Ellim,2000-05-25,South Korea,,Korea,1
Emperor (Kim Jin-hyun),Emperor (Kim Jin-hyun),Emperor,1993-06-07,South Korea,,Korea,1
Endless (Xu Hao),Endless (Xu Hao),Endless,1998-01-20,China,,China,1
Envyy,Envyy,Envyy,2000-04-07,South Korea,,Korea,1
Eric (He Qiang),Eric (He Qiang),Eric,2001-06-15,China,,China,1
Execute,Execute,Execute,2000-02-22,South Korea,,Korea,1
Expession,Expession,Expession,1992-09-16,South Korea,,Korea,1
Fage,Fage,Fage,,China,,China,
Faker,Faker,Faker,1996-05-07,South Korea,,Korea,1
Fan (Liu Yi-Fan),Fan (Liu Yi-Fan),Fan,,China,,China,
FATE (Yoo Su-hyeok),FATE (Yoo Su-hyeok),FATE,2000-08-22,South Korea,,Korea,1
Fdy,Fdy,Fdy,1999-07-08,China,,China,1
Feather,Feather,Feather,2003-08-01,China,,China,1
Feisty,Feisty,Feisty,2003-12-19,South Korea,,Korea,1
Fenfen,Fenfen,Fenfen,1998-08-29,China,,China,1
FIESTA (An Hyeon-seo),FIESTA (An Hyeon-seo),FIESTA,2003-05-04,South Korea,,Korea,1
Fireloli,Fireloli,Fireloli,1996-05-28,China,,China,1
FireRain,FireRain,FireRain,1998-10-30,South Korea,,Korea,1
Firetrap,Part,Part,1995-02-12,South Korea,,Korea,1
Fishball,Fishball,fishball,1996-12-17,China,,China,1
Fisher (Lee Jeong-tae),Fisher (Lee Jeong-tae),Fisher,2004-07-05,South Korea,,Korea,1
Five,COLD,COLD,1997-02-01,China,,China,1
Flame,Flame,Flame,1992-08-13,South Korea,,Korea,1
Flandre,Flandre,Flandre,1998-08-28,China,,China,1
Flawless,Flawless,Flawless,1998-07-26,South Korea,,Korea,1
Flora,Flora,Flora,1999-12-26,China,,China,1
Fly (Song Yong-jun),Fly (Song Yong-jun),Fly,1996-02-25,South Korea,,Korea,1
FoFo,FoFo,FoFo,1999-01-08,Taiwan,,Asia Pacific,1
Forge,Forge,Forge,2000-09-01,China,,China,1
Frog (Lee Min-hoi),Frog (Lee Min-hoi),Frog,2005-06-30,South Korea,,Korea,1
Frozen (Kim Tae-il),Frozen (Kim Tae-il),Frozen,1994-11-04,South Korea,,Korea,1
Funny,Funny,Funny,1998-09-16,China,,China,1
Fury (Lee Jin-yong),Fury (Lee Jin-yong),Fury,1995-11-11,South Korea,,Korea,1
GALA,GALA,GALA,2001-02-14,China,,China,1
Gamin,Gamin,Gamin,2003-12-05,South Korea,,Korea,1
Gango,Gango,Gango,1997-05-16,South Korea,,Korea,1
Garvey,Garvey,Garvey,2002-01-20,China,,China,1
Geju,Geju,Geju,,China,,China,
GENTLE,GENTLE,GENTLE,1999-03-12,China,,China,1
Ggoong,Ggoong,Ggoong,1993-06-26,South Korea,,Korea,1
Ghost (Jang Yong-jun),Ghost (Jang Yong-jun),Ghost,1999-03-18,South Korea,,Korea,1
GIDEON,GIDEON,GIDEON,2003-08-14,South Korea,,Korea,1
GodV (Wei Zhen),GodV (Wei Zhen),GodV,1997-07-16,China,,China,1
GimGoon,GimGoon,GimGoon,1995-12-31,South Korea,,Korea,1
GodLike,GodLike,GodLike,1993-05-12,China,,China,1
Gogoing,Gogoing,Gogoing,1991-10-02,China,,China,1
Gori,Gori,Gori,2000-08-09,South Korea,,Korea,1
GorillA,GorillA,GorillA,1994-11-18,South Korea,,Korea,1
Grace,Yaharong,Yaharong,2000-06-12,South Korea,,Korea,1
Grizzly,Grizzly,Grizzly,2005-05-25,South Korea,,Korea,1
GuGer,GuGer,GuGer,1994-02-07,South Korea,,Korea,1
Gumayusi,Gumayusi,Gumayusi,2002-02-06,South Korea,,Korea,1
Guoguo,Guoguo,Guoguo,1999-05-24,China,,China,1
Guwon,Guwon,Guwon,2003-12-19,South Korea,,Korea,1
Gyu,GYX,GYX,,China,,China,
H4cker,H4cker,H4cker,1999-01-15,China,,China,1
Hachani,Hachani,Hachani,1994-12-24,South Korea,,Korea,1
HamBak,HamBak,HamBak,2002-08-28,South Korea,,Korea,1
Hang,Hang,Hang,2003-02-05,China,,China,1
HanXuan,HanXuan,HanXuan,1997-04-23,China,,China,1
Happy,Happy,Happy,1994-05-11,China,,China,1
HappyY,Happy,Happy,1994-05-11,China,,China,1
Harder,Harder,Harder,2003-06-06,China,,China,1
Haro,Haro,Haro,1998-07-21,China,,China,1
Harp,Harp,Harp,2001-06-03,South Korea,,Korea,1
Haru,Haru,Haru,1998-06-03,South Korea,,Korea,1
Heart,Heart,Heart,1988-12-13,South Korea,,Korea,1
Helper (Kwon Yeong-jae),Helper (Kwon Yeong-jae),Helper,1995-03-24,South Korea,,Korea,1
Helper (Wang Huan-Wei),Helper (Wang Huan-Wei),Helper,,China,,China,
Hena,Hena,Hena,1999-10-08,South Korea,,Korea,1
Heng,Heng,Heng,2001-07-16,China,,China,1
Hery,Hery,Hery,2001-09-29,China,,China,1
Hetong,Hetong,Hetong,1993-12-21,China,,China,1
Hipo,Hipo,Hipo,1998-02-02,South Korea,,Korea,1
Hoit,Hoit,Hoit,1999-07-06,South Korea,,Korea,1
Holder,Holder,Holder,1998-06-25,South Korea,,Korea,1
Hope (Wang Jie),Hope (Wang Jie),Hope,2000-09-29,China,,China,1
Howling,Howling,Howling,2003-09-17,South Korea,,Korea,1
HOYA,HOYA,HOYA,2000-08-25,South Korea,,Korea,1
Huanggai,Huanggai,Huanggai,1995-07-17,China,,China,1
Huatian,MaiX,MaiX,1999-07-02,China,,China,1
Hudie,Hudie,Hudie,1994-08-24,China,,China,1
Huni,Huni,Huni,1997-12-25,South Korea,,North America,1
HwQ,HwQ,HwQ,,China,,China,
HyBriD (Lee Woo-jin),HyBriD (Lee Woo-jin),HyBriD,1999-11-27,South Korea,,Korea,1
Hype (Byeon Jeong-hyeon),Hype (Byeon Jeong-hyeon),Hype,2003-09-09,South Korea,,Korea,1
HYY,HYY,HYY,,China,,China,
Ian,Ian,Ian,1998-01-22,South Korea,,Korea,1
Ice (Yoon Sang-hoon),Ice (Yoon Sang-hoon),Ice,2001-04-09,South Korea,,Korea,1
Iceloli,Fireloli,Fireloli,1996-05-28,China,,China,1
ICON,ICON,ICON,1996-05-22,China,,China,1
Ignar,Ignar,Ignar,1996-11-20,South Korea,,Korea,1
Imp,Imp,imp,1995-06-07,South Korea,,Korea,1
InSec,InSec,inSec,1993-06-29,South Korea,,Korea,1
Insulator,Insulator,Insulator,2000-12-23,China,,China,1
Intruder,1ntruder,1ntruder,1994-08-14,China,,China,1
Invincible,Invincible,Invincible,2001-01-30,China,,China,1
Irove,Sanghyeon,sanghyeon,2001-12-17,South Korea,,Korea,1
Ivory,Ivory,Ivory,2003-10-12,South Korea,,Korea,1
Iwandy,Iwandy,Iwandy,2000-08-27,China,,China,1
JackeyLove,JackeyLove,JackeyLove,2000-11-18,China,,China,1
Jay (Chen Bo),Jay (Chen Bo),Jay,1999-08-12,China,,China,1
Jelly (Son Ho-gyeong),Jelly (Son Ho-gyeong),Jelly,1997-10-18,South Korea,,Korea,1
Jerry (Zhou Ke-Xue),Jerry (Zhou Ke-Xue),Jerry,2001-01-24,China,,China,1
Jett,Jett,Jett,2001-07-23,South Korea,,Korea,1
Jiangqiao,Gloria,Gloria,1998-01-12,China,,China,1
Jiaoyang,Jiaoyang,Jiaoyang,1996-01-08,China,,China,1
Jiejie,Jiejie,Jiejie,2001-10-27,China,,China,1
Jiekou,Jiekou,Jiekou,1997-09-04,China,,China,1
JieZou,JieZou,JieZou,,China,,China,
JingYi,JingYi,JingYi,,China,,China,
Jinjao,Jinjiao,Jinjiao,1998-04-15,China,,China,1
Jinjiao,Jinjiao,Jinjiao,1998-04-15,China,,China,1
Jinoo,Jinoo,Jinoo,1995-01-23,South Korea,,Korea,1
JiuMeng,Elk,Elk,2001-09-29,China,,China,1
Jiwoo,Jiwoo,Jiwoo,2004-03-20,South Korea,,Korea,1
Joker (Cho Jae-eup),Joker (Cho Jae-eup),Joker,1991-12-11,South Korea,,Korea,1
Juejue,Juejue,Juejue,1998-09-12,China,,China,1
JugGod,Youxin,Youxin,,China,,China,
Juhan,Juhan,Juhan,2001-08-31,South Korea,,Korea,1
Juice,Juice,Juice,2006-01-08,China,,China,1
Jun (Yoon Se-jun),Jun (Yoon Se-jun),Jun,2000-08-02,South Korea,,Korea,1
JunJia,JunJia,JunJia,2002-06-10,Taiwan,,Asia Pacific,1
Justice,Justice,Justice,1998-01-04,South Korea,,Korea,1
Jwei,Jwei,Jwei,2003-01-05,China,,China,1
Kabbie,Sanghyeon,sanghyeon,2001-12-17,South Korea,,Korea,1
Kabe,Kabe,Kabe,1994-10-12,Hong Kong,,China,1
Kael (Kim Jin-hong),Kael (Kim Jin-hong),Kael,2004-02-11,South Korea,,Korea,1
KaKAO,KaKAO,KaKAO,1995-12-07,South Korea,,Korea,1
Kanavi,Kanavi,Kanavi,2000-11-02,South Korea,,Korea,1
Kane (Chen Hao),Kane (Chen Hao),Kane,1998-06-26,China,,China,1
Karin,Karin,Karin,1995-01-29,South Korea,,Korea,1
Karis,Karis,Karis,2003-05-21,South Korea,,Korea,1
Karsa,Karsa,Karsa,1997-02-14,Taiwan,,Asia Pacific,1
Ke,Ke,Ke,1998-11-28,China,,China,1
Kedaya,Kedaya,Kedaya,2001-05-04,China,,China,1
Keine,Keine,Keine,1999-11-08,South Korea,,Korea,1
Kellin,Kellin,Kellin,2001-02-01,South Korea,,Korea,1
Kepler,Kepler,Kepler,2002-09-28,China,,China,1
Keria,Keria,Keria,2002-10-14,South Korea,,Korea,1
Key,Key,Key,1997-06-20,South Korea,,Korea,1
Khan,Khan,Khan,1995-12-22,South Korea,,Korea,1
Kid,Kid,Kid,1997-08-23,China,,China,1
KidKid,Kid,Kid,1997-08-23,China,,China,1
Kiin,Kiin,Kiin,1999-05-28,South Korea,,Korea,1
Killua,Killua,Killua,1996-09-07,China,,China,1
Kine,Iiann,iiann,2000-08-06,China,,China,1
Kingen,Kingen,Kingen,2000-03-11,South Korea,,Korea,1
Kitties,Kitties,Kitties,1992-09-03,China,,China,1
Kiwi,Kiwi,Kiwi,1997-07-26,China,,China,1
Knight (Zhuo Ding),Knight (Zhuo Ding),Knight,2000-05-22,China,,China,1
Knight9,Knight (Zhuo Ding),Knight,2000-05-22,China,,China,1
Kongming,Grim,Grim,1998-01-18,China,,China,1
Koro1,Korol,Korol,1994-05-02,China,,China,1
Korol,Korol,Korol,1994-05-02,China,,China,1
Kramer,Kramer,Kramer,1996-03-09,South Korea,,Korea,1
Kui,Kui,Kui,2001-07-01,China,,China,1
Kuma (Park Hyeon-gyu),Kuma (Park Hyeon-gyu),Kuma,2000-11-14,South Korea,,Korea,1
Kuri,Kuri,Kuri,2000-08-08,South Korea,,Brazil,1
Kuro,Kuro,Kuro,1994-01-04,South Korea,,Korea,1
Kuzan,Kuzan,Kuzan,1997-01-07,South Korea,,Korea,1
Kyeahoo,Kyeahoo,kyeahoo,2005-08-13,South Korea,,Korea,1
Langx,Langx,Langx,1997-09-19,China,,China,1
Lava,Lava,Lava,1999-07-14,South Korea,,Korea,1
Lazarus,Reven (Seong Sang-hyeon),Reven,1994-12-15,South Korea,,Korea,1
Leaper,Leaper,Leaper,2000-05-18,South Korea,,Korea,1
Leave,Leave,Leave,2002-09-29,China,,China,1
Lehends,Lehends,Lehends,1998-12-24,South Korea,,Korea,1
Lele (Dang Bo-Lin),Lele (Dang Bo-Lin),Lele,2000-07-11,China,,China,1
Leo (Dai Cheng),Leo (Dai Cheng),Leo,,China,,China,
Leo (Han Gyeo-re),Leo (Han Gyeo-re),Leo,2000-01-12,South Korea,,Korea,1
Letme,Letme,Letme,1996-05-18,China,,China,1
Levi,Levi,Levi,1997-11-18,Vietnam,,Asia Pacific,1
Ley,Ley,Ley,1997-06-15,China,,China,1
Leyan,Leyan,Leyan,2002-07-07,China,,China,1
Leyn,Ley,Ley,1997-06-15,China,,China,1
Lies (Guo Hao-Tian),Lies (Guo Hao-Tian),Lies,1997-12-28,China,,China,1
Life,Life,Life,2000-07-07,South Korea,,Korea,1
Light (Wang Guang-Yu),Light (Wang Guang-Yu),Light,2001-02-21,China,,China,1
Lindarang,Lindarang,Lindarang,1997-08-25,South Korea,,Korea,1
Linfeng,Linfeng,Linfeng,2005-02-09,China,,China,1
Lira,Lira,Lira,1995-01-15,South Korea,,Korea,1
Listo,Listo,Listo,2005-03-09,South Korea,,Korea,1
LokeN,LokeN,LokeN,1998-02-14,South Korea,,Korea,1
Lonely (Han Gyu-joon),Lonely (Han Gyu-joon),Lonely,2000-08-29,South Korea,,Korea,1
Loong,Loong,Loong,1995-11-01,China,,China,1
Looper,Looper,Looper,1993-02-28,South Korea,,Korea,1
Loopy,Loopy,Loopy,2004-06-09,South Korea,,Korea,1
Lospa,Lospa,Lospa,2002-09-30,South Korea,,Korea,1
LoveCD,LoveCD,LoveCD,1990-01-20,China,,China,1
LoveLing,LoveLing,LoveLing,1993-05-01,China,,China,1
LoveZrr,LoveZrr,LoveZrr,,China,,China,
LP,LP,LP,2002-08-04,China,,China,1
Lpc,Lpc,Lpc,2001-06-20,China,,China,1
Lucas (Li Tan-Pan-Ao),XinLiu,XinLiu,2001-07-27,China,,China,1
Lucid (Choi Yong-hyeok),Lucid (Choi Yong-hyeok),Lucid,2005-01-28,South Korea,,Korea,1
Luo (Luo Ci-Rui),Luo (Luo Ci-Rui),Luo,1994-07-31,China,,China,1
Luo (Yin Peng),Luo (Yin Peng),Luo,,China,,China,
LvMao,LvMao,LvMao,1996-03-07,China,,China,1
Lwx,Lwx,Lwx,1998-10-24,China,,China,1
Lz (Li Zhen),Lz (Li Zhen),Lz,1998-08-03,China,,China,1
Lzq,Lzq,Lzq,2004-08-23,China,,China,1
M1anhua,M1anhua,M1anhua,1999-11-05,China,,China,1
M1kuya,Hulatang,hulatang,2000-10-06,China,,China,1
MadLife,MadLife,MadLife,1992-10-05,South Korea,,Korea,1
Maestr0,Maestro (Hu Jian-Xin),Maestro,1998-04-24,China,,China,1
Maestro (Hu Jian-Xin),Maestro (Hu Jian-Xin),Maestro,1998-04-24,China,,China,1
Magic (Zhou Jun-Xuan),Magic (Zhou Jun-Xuan),Magic,1996-11-28,China,,China,1
