CanonicalPlayer,League,FirstTopTierYear,LastTopTierYear,TopTierYears
Leo (Han Gyeo-re),LoL Champions Korea,2018,2021,2018;2020;2021
Letme,Tencent LoL Pro League,2015,2018,2015;2016;2017;2018
Levi,Tencent LoL Pro League,2019,2019,2019
Ley,Tencent LoL Pro League,2015,2020,2015;2016;2019;2020
Leyan,Tencent LoL Pro League,2019,2024,2019;2020;2021;2022;2023;2024
Lies (Guo Hao-Tian),Tencent LoL Pro League,2017,2020,2017;2018;2019;2020
Life,LoL Champions Korea,2019,2023,2019;2020;2021;2022;2023
Life,Tencent LoL Pro League,2024,2024,2024
Light (Wang Guang-Yu),Tencent LoL Pro League,2018,2024,2018;2020;2021;2022;2023;2024
Lindarang,LoL Champions Korea,2016,2019,2016;2017;2018;2019
Linfeng,Tencent LoL Pro League,2024,2024,2024
Lira,LoL Champions Korea,2016,2016,2016
Listo,LoL Champions Korea,2022,2022,2022
LokeN,LoL Champions Korea,2016,2016,2016
LokeN,Tencent LoL Pro League,2017,2021,2017;2018;2019;2020;2021
Lonely (Han Gyu-joon),LoL Champions Korea,2020,2020,2020
Loong,Tencent LoL Pro League,2015,2018,2015;2016;2017;2018
Looper,Tencent LoL Pro League,2015,2016,2015;2016
Loopy,LoL Champions Korea,2022,2022,2022
Lospa,LoL Champions Korea,2022,2022,2022
LoveCD,Tencent LoL Pro League,2015,2015,2015
LoveLing,Tencent LoL Pro League,2015,2015,2015
LoveZrr,Tencent LoL Pro League,2019,2019,2019
Lpc,Tencent LoL Pro League,2021,2023,2021;2022;2023
Lucid (Choi Yong-hyeok),LoL Champions Korea,2024,2024,2024
Luo (Luo Ci-Rui),Tencent LoL Pro League,2015,2016,2015;2016
Luo (Yin Peng),Tencent LoL Pro League,2015,2015,2015
LvMao,Tencent LoL Pro League,2017,2023,2017;2018;2019;2020;2021;2022;2023
Lwx,Tencent LoL Pro League,2017,2024,2017;2018;2019;2020;2021;2022;2023;2024
Lz (Li Zhen),Tencent LoL Pro League,2017,2017,2017
Lzq,Tencent LoL Pro League,2023,2023,2023
M1anhua,Tencent LoL Pro League,2018,2018,2018
MISSING,Tencent LoL Pro League,2018,2024,2018;2019;2020;2021;2022;2023;2024
MaHa,LoL Champions Korea,2016,2018,2016;2017;2018
MaRin,LoL Champions Korea,2017,2017,2017
MaRin,Tencent LoL Pro League,2016,2018,2016;2018
